text,sentiment
Inflation remains subdued from supply factors and government subsidies and is projected to gradually increase towards the target range by the end of 2024.,1
"The aforementioned downside factors are expected to subside this year, causing the Thai economy to grow at 2.6 and 3.0 percent in 2024 and 2025, respectively, faster relative to the previous year.",1
"However, some groups of SMEs and low-income households face tighter credit conditions due to financial access difficulties and debt serviceability deterioration due to a slower rebound in income.",-1
The Committee will continue to closely monitor the volatilities in the foreign exchange market.,0
The Committee voted 5 to 2 to maintain the policy rate at 2.50 percent.,0
"Meanwhile, core inflation is forecasted to be at 0.6 and 0.9 percent in 2024 and 2025, respectively.",0
"The Thai economy is projected to grow in 2024 at a higher rate than the previous year with continued support from private consumption and tourism, along with public expenditure which is anticipated to accelerate for the remainder of the year.",1
The Committee will closely monitor such developments and take into account growth and inflation outlooks in deliberating monetary policy going forward.,0
"The majority of the Committee deems that the current policy interest rate is conducive to safeguarding macro-financial stability, and that the effectiveness of monetary policy on resolving structural impediments is limited.",0
"The Thai economy in the second half of 2023 slowed more than anticipated due to sluggish export recovery, delayed government budget disbursement, and higher-thannormal inventories.",-1
The baht’s volatility when measured against the US dollar increased and depreciated more relative to other regional currencies due to the Federal Reserve’s monetary policy outlook and domestic economic and financial developments.,-1
"The prevailing monetary policy framework seeks to maintain price stability, support sustainable growth, and preserve financial stability.",1
"Nevertheless, uncertainties on the Thai economy remain high, particularly from export recovery, government budget disbursement, and fiscal stimulus measures.",-1
"Moreover, the Committee assesses that the effectiveness of monetary policy on resolving financial access issues is limited.",-1
The costs of private sector funding via commercial banks and corporate bond markets remain approximately unchanged.,0
"Nevertheless, the amount of new loans granted is still growing, indicating overall normal credit functioning.",1
"Headline inflation is projected at 0.6 and 1.3 percent in 2024 and 2025, respectively.",0
"The Committee welcomes the Bank of Thailand’ s initiatives to accelerate targeted measures, particularly Responsible Lending measures.",1
The decline in Thai economic growth after the COVID-19 pandemic reflects the impact of structural headwinds on the economy’s potential.,-1
Two MPC members voted to cut the policy rate by 0.25 percentage point.,0
"In contrast, exports of goods are anticipated to recover only gradually in the second half of this year.",-1
"In the period ahead, the effect of geopolitical tensions and government subsidies on energy prices should be monitored.",0
Total loans outstanding of businesses and households expand at a slower pace due to debt repayments.,-1
"Overall, inflation is anticipated to return to target by the end of this year.",1
Such economic expansion is supported by (1) an improvement in the tourism outlook in terms of both the number of foreign tourists and spending per head; (2) continued expansion of private consumption despite having been moderating from high growth last year; and (3) an acceleration of public expenditure in the remainder of the year.,1
"Structural impediments, particularly deteriorating competitiveness in the exports and manufacturing sectors, as well as global excess capacity limit the benefits of the global economic recovery on the Thai economy.",-1
"Most members thus voted to maintain the policy rate at this meeting, but will monitor uncertainties of economic factors going forward.",0
Most Committee members deem that the policy rate remains consistent with sustaining growth while fostering macro-financial stability in the longer term.,1
"This is consistent with the outstanding amount of non-performing loans (NPLs) which is expected to gradually pick up, and the likelihood of a surge in non-performing loans is limited.",1
"The Committee expresses concern on elevated household debt and recognizes the importance of debt deleveraging, which will help mitigate vulnerabilities in the macro and financial system in the long term.",-1
Overall financial conditions remain stable.,1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 10 April 2024 as follows.",0
"The downward revision attributes to the decline in prices of certain raw food items due to excess supply and the decrease in energy prices due to an extension of government subsidies, while the recent negative inflation readings excluding subsidies remained positive.",0
Two members voted to cut the policy rate by 0.25 percentage point to reflect Thailand’s lower potential growth as a result of structural challenges and to partly alleviate debt-servicing burden of borrowers.,0
"Meanwhile, structural headwinds continued to weigh on export recovery.",-1
Monetary policy normalization should be done in a gradual and measured manner consistent with the growth and inflation outlook in the period ahead.,0
"Going forward, the inflation outlook is still subject to upside risks, including potentially higher and faster cost pass-through to core inflation.",-1
The Committee views that the policy rate should be normalized to the level that is consistent with sustainable growth in the long term.,1
"Under the monetary policy framework with objectives of maintaining price stability, supporting sustainable and full-potential economic growth, and preserving financial stability, the Committee judges that the Thai economic recovery will continue to gain traction, and thus the extraordinarily accommodative monetary policy will become less needed.",1
One member voted to raise the policy rate by 0.50 percentage point.,0
One member voted to raise the policy rate by 0.50 percentage point to reduce the risk of having to increase the policy rate aggressively later and views that such a rate increase will not significantly affect the economic recovery.,0
The Committee assesses that the extraordinarily accommodative monetary policy undertaken in response to the COVID-19 pandemic has become less needed.,0
Overall financial conditions remain accommodative but with high volatility.,0
"The Committee voted 6 to 1 to raise the policy rate by 0.25 percentage point from 0.50 to 0.75 percent, effective immediately.",0
The Committee views that financial institutions should continue to press ahead with debt restructuring and deems it important to have targeted measures and sustainable solutions in place for vulnerable groups.,1
Economic recovery has continued to strengthen.,1
"However, there are certain vulnerable groups, particularly some SMEs that have yet to fully recover as well as lowincome households that are sensitive to the rising living costs.",-1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 10 August 2022 as follows.",-1
"Liquidity in the financial system remains ample, although liquidity distribution still varies across economic sectors.",0
"The Committee will continue to closely monitor inflation dynamics, cost pass-through, and inflation expectations.",0
The baht has depreciated against the US dollar mainly due to the strengthening of the US dollar following concerns about the global economic slowdown and the Fed tightening.,-1
"Headline inflation will remain at a high level throughout 2022, largely unchanged from the previous forecast, before gradually falling into the target range in 2023 as the supply-side inflationary pressures subside.",0
The Thai economy is projected to continue recovering with strong momentum.,1
Headline inflation will remain at a high level for some time.,-1
"Although the risk of global slowdown has heightened, the impact on the Thai economy would be limited.",1
The Committee will closely monitor developments and volatilities in financial and exchange rate markets.,0
"In addition, private consumption would continue to recover in line with improvements in labor market conditions and household incomes.",1
Commercial banks have high levels of capital fund and loan loss provision.,1
"Nonetheless, there remains a need to monitor risks to the growth outlook in the period ahead, especially the impact of rising living costs on private consumption.",0
Most members thus voted to raise the policy rate by 0.25 percentage point at this meeting.,0
This is attributable to a larger-than-expected number of foreign tourist arrivals following the relaxation of international travel restrictions and improved travel sentiments.,1
Debt serviceability of households and businesses has improved in line with the economic recovery.,1
The Thai economy is expected to return to the pre-COVID level by the end of this year and will continue to gain traction.,1
Overall financial system remains resilient.,1
"Meanwhile, medium-term inflation expectations have not increased significantly.",1
"However, SMEs in some sectors have yet to fully recover and some low-income households are still sensitive to the rising living costs.",-1
